,model_id,ntrees,learn_rate,max_depth,sample_rate,col_sample_rate,score_each_iteration,seed,stopping_rounds,stopping_metric,stopping_tolerance
98,GBM_grid_1_AutoML_20190425_044008_model_29,110,0.001,5,0.7,0.7,False,-5163791532154329733,0,deviance,0.011609086505314302
99,GBM_grid_1_AutoML_20190425_044008_model_3,134,0.05,3,0.9,0.4,False,-4296390749183871072,0,deviance,0.011609086505314302
100,GBM_grid_1_AutoML_20190425_044008_model_30,13,0.1,14,0.7,0.4,False,771113891342150806,0,deviance,0.011609086505314302
101,GBM_grid_1_AutoML_20190425_044008_model_31,1,0.8,3,0.9,1.0,False,8460710322061659507,0,deviance,0.011609086505314302
102,GBM_grid_1_AutoML_20190425_044008_model_4,98,0.5,4,0.9,0.7,False,-6103050740151744702,0,deviance,0.011609086505314302
103,GBM_grid_1_AutoML_20190425_044008_model_5,33,0.8,16,0.9,0.4,False,4577818648390299730,0,deviance,0.011609086505314302
104,GBM_grid_1_AutoML_20190425_044008_model_6,79,0.5,14,0.8,0.4,False,-1023905247349020337,0,deviance,0.011609086505314302
105,GBM_grid_1_AutoML_20190425_044008_model_7,64,0.08,10,1.0,0.4,False,6364228127700380813,0,deviance,0.011609086505314302
106,GBM_grid_1_AutoML_20190425_044008_model_8,413,0.005,8,0.9,0.7,False,4636523128825234362,0,deviance,0.011609086505314302
107,GBM_grid_1_AutoML_20190425_044008_model_9,81,0.5,17,1.0,0.7,False,9056734827137660161,0,deviance,0.011609086505314302
108,GBM_grid_1_AutoML_20190425_050348_model_1,154,0.05,14,0.8,0.4,False,-86606693445993340,0,deviance,0.011609086505314302
109,GBM_grid_1_AutoML_20190425_050348_model_10,76,0.5,4,1.0,0.7,False,-5681759701291087414,0,deviance,0.011609086505314302
110,GBM_grid_1_AutoML_20190425_050348_model_11,70,0.1,15,1.0,0.7,False,-5874993611367975741,0,deviance,0.011609086505314302
111,GBM_grid_1_AutoML_20190425_050348_model_12,271,0.01,5,1.0,0.4,False,5327237720494407692,0,deviance,0.011609086505314302
112,GBM_grid_1_AutoML_20190425_050348_model_13,739,0.001,10,0.9,1.0,False,1038382090931042987,0,deviance,0.011609086505314302
113,GBM_grid_1_AutoML_20190425_050348_model_14,90,0.1,6,0.7,0.4,False,1236855722298648969,0,deviance,0.011609086505314302
114,GBM_grid_1_AutoML_20190425_050348_model_15,82,0.5,12,0.9,1.0,False,-5141448949977512238,0,deviance,0.011609086505314302
115,GBM_grid_1_AutoML_20190425_050348_model_16,372,0.005,17,1.0,0.7,False,383813281832345368,0,deviance,0.011609086505314302
